LECROYWP760Zi,55441,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,12-Dec-2012 10:30:35,0                 
Time,Ampl
-5.000663e-007,0.0011266
-4.999663e-007,-0.00405826
-4.998663e-007,-0.00677198
-4.997663e-007,-0.00559197
-4.996663e-007,-0.00169354
-4.995663e-007,0.00229722
-4.994663e-007,0.00260239
-4.993663e-007,0.00176199
-4.992663e-007,-0.000524484
-4.991663e-007,-0.00198307
-4.990663e-007,-0.00100494
-4.989663e-007,-0.000267824
-4.988663e-007,-0.00108789
-4.987663e-007,-0.00251517
-4.986663e-007,-0.00454028
-4.985663e-007,-0.00316465
-4.984663e-007,0.00121267
-4.983663e-007,0.00275576
-4.982663e-007,0.00336142
-4.981663e-007,0.000863674
-4.980663e-007,-0.00282348
-4.979663e-007,-0.00522419
-4.978663e-007,-0.00432588
-4.977663e-007,-0.00121935
-4.976663e-007,0.00205621
-4.975663e-007,0.00313137
-4.974663e-007,0.000805769
-4.973663e-007,-0.00231172
-4.972663e-007,-0.00202689
-4.971663e-007,-0.00079836
-4.970663e-007,0.000340963
-4.969663e-007,-0.000399284
-4.968663e-007,-0.00066377
-4.967663e-007,-0.00398314
-4.966663e-007,-0.00403009
-4.965663e-007,-0.00124126
-4.964663e-007,0.00104834
-4.963663e-007,0.00191223
-4.962663e-007,0.000768209
-4.961663e-007,-0.00115362
-4.960663e-007,-0.00384542
-4.959663e-007,-0.0025809
-4.958663e-007,-0.000598039
-4.957663e-007,0.00204212
-4.956663e-007,0.00252727
-4.955663e-007,-0.000612124
-4.954663e-007,-0.00358094
-4.953663e-007,-0.00619449
-4.952663e-007,-0.00342757
-4.951663e-007,0.00176668
-4.950663e-007,0.00412827
-4.949663e-007,0.00370885
-4.948663e-007,0.000688394
-4.947663e-007,-0.0042398
-4.946663e-007,-0.00555597
-4.945663e-007,-0.00477347
-4.944663e-007,0.000657094
-4.943663e-007,0.0025617
-4.942663e-007,0.00246937
-4.941663e-007,-0.000588649
-4.940663e-007,-0.00377969
-4.939663e-007,-0.00280783
-4.938663e-007,-0.00200654
-4.937663e-007,0.00217515
-4.936663e-007,0.0033849
-4.935663e-007,-3.93329e-005
-4.934663e-007,-0.00350269
-4.933663e-007,-0.00659357
-4.932663e-007,-0.00406765
-4.931663e-007,0.00121893
-4.930663e-007,0.00577153
-4.929663e-007,0.00584665
-4.928663e-007,0.00270568
-4.927663e-007,-0.00404418
-4.926663e-007,-0.0071961
-4.925663e-007,-0.00548085
-4.924663e-007,-0.000715415
-4.923663e-007,0.00311259
-4.922663e-007,0.00263369
-4.921663e-007,0.000938795
-4.920663e-007,-0.0013915
-4.919663e-007,-0.00118961
-4.918663e-007,0.00108747
-4.917663e-007,0.00108277
-4.916663e-007,-0.000812445
-4.915663e-007,-0.00324446
-4.914663e-007,-0.00545112
-4.913663e-007,-0.00457471
-4.912663e-007,-0.000258433
-4.911663e-007,0.00271194
-4.910663e-007,0.00432859
-4.909663e-007,0.00265247
-4.908663e-007,0.000195418
-4.907663e-007,-0.00278748
-4.906663e-007,-0.00319282
-4.905663e-007,-0.00379691
-4.904663e-007,-0.00343696
-4.903663e-007,-0.00332115
-4.902663e-007,-0.00170137
-4.901663e-007,0.000514678
-4.900663e-007,0.00504224
-4.899663e-007,0.00597185
-4.898663e-007,0.00287001
-4.897663e-007,-0.00265132
-4.896663e-007,-0.0086985
-4.895663e-007,-0.00880492
-4.894663e-007,-0.00639012
-4.893663e-007,0.000491203
-4.892663e-007,0.00534741
-4.891663e-007,0.00818163
-4.890663e-007,0.00176355
-4.889663e-007,-0.000213048
-4.888663e-007,-0.00370144
-4.887663e-007,-0.00441039
-4.886663e-007,-0.00248387
-4.885663e-007,-0.00129603
-4.884663e-007,-0.000497879
-4.883663e-007,-0.00144314
-4.882663e-007,-0.00092356
-4.881663e-007,0.000813594
-4.880663e-007,0.00394986
-4.879663e-007,0.00497963
-4.878663e-007,0.0026556
-4.877663e-007,-0.00291738
-4.876663e-007,-0.0078847
-4.875663e-007,-0.00812258
-4.874663e-007,-0.00447768
-4.873663e-007,0.00144899
-4.872663e-007,0.00718786
-4.871663e-007,0.00684668
-4.870663e-007,0.00278393
-4.869663e-007,-0.00315682
-4.868663e-007,-0.00662487
-4.867663e-007,-0.00744806
-4.866663e-007,-0.00396749
-4.865663e-007,0.0011266
-4.864663e-007,0.00302964
-4.863663e-007,0.00342872
-4.862663e-007,0.00185745
-4.861663e-007,-0.0011098
-4.860663e-007,-0.00188917
-4.859663e-007,-0.00267793
-4.858663e-007,-0.00390646
-4.857663e-007,-0.00319438
-4.856663e-007,-0.00303945
-4.855663e-007,-0.00108789
-4.854663e-007,0.00262587
-4.853663e-007,0.00505006
-4.852663e-007,0.00517213
-4.851663e-007,-0.00088287
-4.850663e-007,-0.00518037
-4.849663e-007,-0.0110131
-4.848663e-007,-0.00561075
-4.847663e-007,-0.00149635
-4.846663e-007,0.00433485
-4.845663e-007,0.00731462
-4.844663e-007,0.00659472
-4.843663e-007,-0.00102529
-4.842663e-007,-0.00602704
-4.841663e-007,-0.00879397
-4.840663e-007,-0.00610372
-4.839663e-007,-0.00142906
-4.838663e-007,0.00205621
-4.837663e-007,0.00515805
-4.836663e-007,0.00385753
-4.835663e-007,0.00157732
-4.834663e-007,-0.000853135
-4.833663e-007,-0.00378908
-4.832663e-007,-0.00543703
-4.831663e-007,-0.00663582
-4.830663e-007,-0.00626961
-4.829663e-007,-0.0023884
-4.828663e-007,0.00347254
-4.827663e-007,0.00766362
-4.826663e-007,0.00756502
-4.825663e-007,0.00365564
-4.824663e-007,-0.00422572
-4.823663e-007,-0.00973297
-4.822663e-007,-0.012226
-4.821663e-007,-0.0065341
-4.820663e-007,0.000283058
-4.819663e-007,0.00374015
-4.818663e-007,0.00730367
-4.817663e-007,0.00554304
-4.816663e-007,0.00345532
-4.815663e-007,-0.00164346
-4.814663e-007,-0.00562953
-4.813663e-007,-0.00803181
-4.812663e-007,-0.006941
-4.811663e-007,-0.00243535
-4.810663e-007,0.000284623
-4.809663e-007,0.00311572
-4.808663e-007,0.0053568
-4.807663e-007,0.00442249
-4.806663e-007,0.0025304
-4.805663e-007,0.000162553
-4.804663e-007,-0.00297372
-4.803663e-007,-0.00666712
-4.802663e-007,-0.008542
-4.801663e-007,-0.00827595
-4.800663e-007,-0.00154643
-4.799663e-007,0.00546166
