LECROYWP760Zi,55441,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,12-Dec-2012 10:36:24,0                 
Time,Ampl
-5.000602e-007,1.8996
-4.999602e-007,1.93178
-4.998602e-007,1.91242
-4.997602e-007,1.90903
-4.996602e-007,1.90934
-4.995602e-007,1.90854
-4.994602e-007,1.90021
-4.993602e-007,1.88892
-4.992602e-007,1.90066
-4.991602e-007,1.89608
-4.990602e-007,1.91622
-4.989602e-007,1.90404
-4.988602e-007,1.91003
-4.987602e-007,1.89919
-4.986602e-007,1.91625
-4.985602e-007,1.91075
-4.984602e-007,1.90881
-4.983602e-007,1.89383
-4.982602e-007,1.9168
-4.981602e-007,1.90315
-4.980602e-007,1.88776
-4.979602e-007,1.90066
-4.978602e-007,1.91766
-4.977602e-007,1.90379
-4.976602e-007,1.90304
-4.975602e-007,1.89941
-4.974602e-007,1.90659
-4.973602e-007,1.90498
-4.972602e-007,1.89325
-4.971602e-007,1.90043
-4.970602e-007,1.89841
-4.969602e-007,1.90551
-4.968602e-007,1.8928
-4.967602e-007,1.90049
-4.966602e-007,1.89919
-4.965602e-007,1.89716
-4.964602e-007,1.894
-4.963602e-007,1.89342
-4.962602e-007,1.89095
-4.961602e-007,1.89766
-4.960602e-007,1.88615
-4.959602e-007,1.88806
-4.958602e-007,1.89092
-4.957602e-007,1.88842
-4.956602e-007,1.88712
-4.955602e-007,1.89932
-4.954602e-007,1.90626
-4.953602e-007,1.88898
-4.952602e-007,1.90324
-4.951602e-007,1.89175
-4.950602e-007,1.90804
-4.949602e-007,1.89663
-4.948602e-007,1.90127
-4.947602e-007,1.89963
-4.946602e-007,1.89974
-4.945602e-007,1.8892
-4.944602e-007,1.90934
-4.943602e-007,1.89131
-4.942602e-007,1.90152
-4.941602e-007,1.91206
-4.940602e-007,1.8915
-4.939602e-007,1.91292
-4.938602e-007,1.90526
-4.937602e-007,1.89774
-4.936602e-007,1.91001
-4.935602e-007,1.90787
-4.934602e-007,1.90781
-4.933602e-007,1.89802
-4.932602e-007,1.90118
-4.931602e-007,1.89835
-4.930602e-007,1.89949
-4.929602e-007,1.91242
-4.928602e-007,1.89139
-4.927602e-007,1.91264
-4.926602e-007,1.90507
-4.925602e-007,1.89791
-4.924602e-007,1.9021
-4.923602e-007,1.89763
-4.922602e-007,1.9074
-4.921602e-007,1.90482
-4.920602e-007,1.90088
-4.919602e-007,1.89416
-4.918602e-007,1.90018
-4.917602e-007,1.89649
-4.916602e-007,1.90049
-4.915602e-007,1.88653
-4.914602e-007,1.90792
-4.913602e-007,1.90343
-4.912602e-007,1.90892
-4.911602e-007,1.89982
-4.910602e-007,1.90792
-4.909602e-007,1.9054
-4.908602e-007,1.89311
-4.907602e-007,1.90038
-4.906602e-007,1.915
-4.905602e-007,1.896
-4.904602e-007,1.88942
-4.903602e-007,1.89966
-4.902602e-007,1.89752
-4.901602e-007,1.90576
-4.900602e-007,1.90798
-4.899602e-007,1.91006
-4.898602e-007,1.90038
-4.897602e-007,1.90693
-4.896602e-007,1.89916
-4.895602e-007,1.91542
-4.894602e-007,1.90565
-4.893602e-007,1.90645
-4.892602e-007,1.91422
-4.891602e-007,1.9089
-4.890602e-007,1.89203
-4.889602e-007,1.89869
-4.888602e-007,1.91786
-4.887602e-007,1.89655
-4.886602e-007,1.91026
-4.885602e-007,1.89663
-4.884602e-007,1.89342
-4.883602e-007,1.90007
-4.882602e-007,1.88878
-4.881602e-007,1.91331
-4.880602e-007,1.90584
-4.879602e-007,1.89988
-4.878602e-007,1.91802
-4.877602e-007,1.90324
-4.876602e-007,1.91561
-4.875602e-007,1.90923
-4.874602e-007,1.90002
-4.873602e-007,1.91333
-4.872602e-007,1.89749
-4.871602e-007,1.92452
-4.870602e-007,1.91389
-4.869602e-007,1.89855
-4.868602e-007,1.91045
-4.867602e-007,1.91261
-4.866602e-007,1.89957
-4.865602e-007,1.89877
-4.864602e-007,1.90792
-4.863602e-007,1.89691
-4.862602e-007,1.91755
-4.861602e-007,1.89566
-4.860602e-007,1.90182
-4.859602e-007,1.91514
-4.858602e-007,1.89699
-4.857602e-007,1.91517
-4.856602e-007,1.89089
-4.855602e-007,1.91672
-4.854602e-007,1.90454
-4.853602e-007,1.91267
-4.852602e-007,1.90862
-4.851602e-007,1.90987
-4.850602e-007,1.8917
-4.849602e-007,1.89852
-4.848602e-007,1.89181
-4.847602e-007,1.89891
-4.846602e-007,1.89045
-4.845602e-007,1.88914
-4.844602e-007,1.91367
-4.843602e-007,1.89691
-4.842602e-007,1.89336
-4.841602e-007,1.90712
-4.840602e-007,1.8978
-4.839602e-007,1.90085
-4.838602e-007,1.89103
-4.837602e-007,1.89796
-4.836602e-007,1.89921
-4.835602e-007,1.89863
-4.834602e-007,1.90781
-4.833602e-007,1.89672
-4.832602e-007,1.90188
-4.831602e-007,1.89858
-4.830602e-007,1.90723
-4.829602e-007,1.89677
-4.828602e-007,1.90903
-4.827602e-007,1.90909
-4.826602e-007,1.90684
-4.825602e-007,1.90704
-4.824602e-007,1.90016
-4.823602e-007,1.9001
-4.822602e-007,1.89097
-4.821602e-007,1.88903
-4.820602e-007,1.89999
-4.819602e-007,1.89735
-4.818602e-007,1.90043
-4.817602e-007,1.90601
-4.816602e-007,1.89999
-4.815602e-007,1.90018
-4.814602e-007,1.90723
-4.813602e-007,1.90498
-4.812602e-007,1.90082
-4.811602e-007,1.89993
-4.810602e-007,1.89966
-4.809602e-007,1.89697
