LECROYWP760Zi,55441,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,12-Dec-2012 10:36:16,0                 
Time,Ampl
-5.000318e-007,0.000684265
-4.999318e-007,0.000997266
-4.998318e-007,0.00118976
-4.997318e-007,-0.00108106
-4.996318e-007,-0.00150674
-4.995318e-007,-0.0039325
-4.994318e-007,-0.0037447
-4.993318e-007,-0.00277596
-4.992318e-007,0.00251219
-4.991318e-007,0.00405528
-4.990318e-007,0.00379549
-4.989318e-007,0.0012195
-4.988318e-007,-0.00207171
-4.987318e-007,-0.00476821
-4.986318e-007,-0.00527214
-4.985318e-007,-0.00227359
-4.984318e-007,0.0012508
-4.983318e-007,0.00163892
-4.982318e-007,0.00218823
-4.981318e-007,0.000305534
-4.980318e-007,-0.000260998
-4.979318e-007,-0.00181661
-4.978318e-007,-0.00191677
-4.977318e-007,-0.00284951
-4.976318e-007,-0.00237845
-4.975318e-007,-0.00250365
-4.974318e-007,-0.000433148
-4.973318e-007,0.00074217
-4.972318e-007,0.00177977
-4.971318e-007,0.00174847
-4.970318e-007,-0.000874479
-4.969318e-007,-0.00103254
-4.968318e-007,-0.00238627
-4.967318e-007,-0.00313904
-4.966318e-007,-0.00258659
-4.965318e-007,-0.000901084
-4.964318e-007,0.000455774
-4.963318e-007,0.00203799
-4.962318e-007,0.00062636
-4.961318e-007,-0.000292298
-4.960318e-007,-0.0017055
-4.959318e-007,-0.00217969
-4.958318e-007,-0.0026132
-4.957318e-007,-0.00199346
-4.956318e-007,-0.000847874
-4.955318e-007,-0.000774319
-4.954318e-007,-0.000253173
-4.953318e-007,-0.00108262
-4.952318e-007,-0.000500443
-4.951318e-007,-0.000616254
-4.950318e-007,-0.000332988
-4.949318e-007,-0.000146752
-4.948318e-007,-0.00132051
-4.947318e-007,-0.00212492
-4.946318e-007,-0.00161786
-4.945318e-007,-0.00256938
-4.944318e-007,-0.00155213
-4.943318e-007,-0.000764929
-4.942318e-007,0.00100822
-4.941318e-007,-2.7812e-005
-4.940318e-007,0.000231979
-4.939318e-007,-0.00134398
-4.938318e-007,-0.00190895
-4.937318e-007,-0.00188234
-4.936318e-007,-0.00142067
-4.935318e-007,-0.00198563
-4.934318e-007,-0.000954294
-4.933318e-007,-0.00125165
-4.932318e-007,-1.9987e-005
-4.931318e-007,-0.000145187
-4.930318e-007,-0.000251608
-4.929318e-007,0.000233544
-4.928318e-007,-0.000121712
-4.927318e-007,-0.000425323
-4.926318e-007,-0.00380886
-4.925318e-007,-0.00381825
-4.924318e-007,-0.00363671
-4.923318e-007,-0.0025819
-4.922318e-007,1.44431e-005
-4.921318e-007,0.00197852
-4.920318e-007,0.000706175
-4.919318e-007,0.00080477
-4.918318e-007,-0.00157873
-4.917318e-007,-0.00112801
-4.916318e-007,-0.00266954
-4.915318e-007,-0.00304044
-4.914318e-007,-0.00262885
-4.913318e-007,-0.00130799
-4.912318e-007,0.000502724
-4.911318e-007,0.00198948
-4.910318e-007,0.00156223
-4.909318e-007,0.00131496
-4.908318e-007,-0.00112018
-4.907318e-007,-0.00275092
-4.906318e-007,-0.00426271
-4.905318e-007,-0.00282604
-4.904318e-007,-0.00112018
-4.903318e-007,0.000606015
-4.902318e-007,0.00179542
-4.901318e-007,0.00179072
-4.900318e-007,0.000981616
-4.899318e-007,-0.000328293
-4.898318e-007,-0.00232367
-4.897318e-007,-0.00354125
-4.896318e-007,-0.00315469
-4.895318e-007,-0.00170237
-4.894318e-007,-0.000178052
-4.893318e-007,0.00158884
-4.892318e-007,0.00228057
-4.891318e-007,0.000534024
-4.890318e-007,-0.00166637
-4.889318e-007,-0.00244418
-4.888318e-007,-0.00318599
-4.887318e-007,-0.00199815
-4.886318e-007,-0.000835354
-4.885318e-007,-0.000398718
-4.884318e-007,0.000765645
-4.883318e-007,0.00117881
-4.882318e-007,-0.000257868
-4.881318e-007,-0.00107949
-4.880318e-007,-0.00299036
-4.879318e-007,-0.00254121
-4.878318e-007,-0.00192773
-4.877318e-007,-0.000397153
-4.876318e-007,0.000163118
-4.875318e-007,0.00090806
-4.874318e-007,0.00111151
-4.873318e-007,-0.000112322
-4.872318e-007,-0.00105758
-4.871318e-007,-0.00175401
-4.870318e-007,-0.00212335
-4.869318e-007,-0.00150518
-4.868318e-007,-0.00142849
-4.867318e-007,-0.00238314
-4.866318e-007,0.000258584
-4.865318e-007,0.00188306
-4.864318e-007,0.00125236
-4.863318e-007,0.000325879
-4.862318e-007,-0.00227046
-4.861318e-007,-0.0039638
-4.860318e-007,-0.00403735
-4.859318e-007,-0.000772754
-4.858318e-007,-0.000921429
-4.857318e-007,0.00112873
-4.856318e-007,0.000332139
-4.855318e-007,-0.000782144
-4.854318e-007,-0.00181348
-4.853318e-007,-0.00136276
-4.852318e-007,-0.00139093
-4.851318e-007,-0.00197468
-4.850318e-007,-0.000528613
-4.849318e-007,0.000771905
-4.848318e-007,0.000264844
-4.847318e-007,-0.00119374
-4.846318e-007,-0.00182913
-4.845318e-007,-0.00230646
-4.844318e-007,-0.00264763
-4.843318e-007,-0.00194964
-4.842318e-007,0.000474554
-4.841318e-007,0.00106456
-4.840318e-007,0.00191436
-4.839318e-007,0.000549674
-4.838318e-007,-0.00264137
-4.837318e-007,-0.00291055
-4.836318e-007,-0.00420324
-4.835318e-007,-0.00191677
-4.834318e-007,-0.00102785
-4.833318e-007,0.001376
-4.832318e-007,-0.000818139
-4.831318e-007,-6.69371e-005
-4.830318e-007,-0.00205136
-4.829318e-007,-0.00174306
-4.828318e-007,-0.00132051
-4.827318e-007,-0.00115305
-4.826318e-007,-0.00169141
-4.825318e-007,-0.00138467
-4.824318e-007,-0.000994984
-4.823318e-007,-0.00150361
-4.822318e-007,-0.000226568
-4.821318e-007,-0.000248478
-4.820318e-007,-0.000721109
-4.819318e-007,0.000524634
-4.818318e-007,0.000410389
-4.817318e-007,0.00078286
-4.816318e-007,-0.00127356
-4.815318e-007,-0.00196998
-4.814318e-007,-0.00254434
-4.813318e-007,-0.00203884
-4.812318e-007,-0.000306383
-4.811318e-007,0.00183454
-4.810318e-007,0.00179855
-4.809318e-007,0.000313359
-4.808318e-007,-0.000281343
