LECROYWP760Zi,55441,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,12-Dec-2012 10:36:05,0                 
Time,Ampl
-5.000837e-007,-0.000896389
-4.999837e-007,0.00066079
-4.998837e-007,0.000206939
-4.997837e-007,-0.000179617
-4.996837e-007,0.0008392
-4.995837e-007,-0.000780579
-4.994837e-007,-0.00169298
-4.993837e-007,-0.000861959
-4.992837e-007,-0.00298567
-4.991837e-007,-0.00241444
-4.990837e-007,-0.00159282
-4.989837e-007,-0.000573998
-4.988837e-007,0.000862675
-4.987837e-007,0.00134
-4.986837e-007,0.00101761
-4.985837e-007,-0.000102932
-4.984837e-007,-0.00255373
-4.983837e-007,-0.00283856
-4.982837e-007,-0.00326424
-4.981837e-007,-0.00183383
-4.980837e-007,-0.00100281
-4.979837e-007,0.00137756
-4.978837e-007,0.000138078
-4.977837e-007,0.00091432
-4.976837e-007,0.00107865
-4.975837e-007,-0.000639729
-4.974837e-007,-0.00198876
-4.973837e-007,-0.002801
-4.972837e-007,-0.00433157
-4.971837e-007,-0.0023628
-4.970837e-007,-0.00104037
-4.969837e-007,0.00167022
-4.968837e-007,0.00348562
-4.967837e-007,0.00241046
-4.966837e-007,-0.000559913
-4.965837e-007,-0.00283543
-4.964837e-007,-0.00408117
-4.963837e-007,-0.0042095
-4.962837e-007,-0.00123913
-4.961837e-007,0.000468294
-4.960837e-007,0.00301143
-4.959837e-007,0.000693655
-4.958837e-007,-9.03195e-006
-4.957837e-007,-0.00184478
-4.956837e-007,-0.00231115
-4.955837e-007,-0.00199346
-4.954837e-007,-0.000289168
-4.953837e-007,-9.04122e-005
-4.952837e-007,0.000244499
-4.951837e-007,-0.00308426
-4.950837e-007,-0.00179157
-4.949837e-007,-0.0019872
-4.948837e-007,3.47882e-005
-4.947837e-007,0.00057002
-4.946837e-007,0.000379089
-4.945837e-007,-0.000171792
-4.944837e-007,-0.00133929
-4.943837e-007,-0.00173367
-4.942837e-007,-0.00265702
-4.941837e-007,-0.00253338
-4.940837e-007,-0.00160534
-4.939837e-007,0.000535589
-4.938837e-007,0.000989441
-4.937837e-007,0.000293014
-4.936837e-007,-0.00151926
-4.935837e-007,-0.00324546
-4.934837e-007,-0.00255999
-4.933837e-007,-0.000680419
-4.932837e-007,0.00179385
-4.931837e-007,0.00317419
-4.930837e-007,-0.000528613
-4.929837e-007,-0.00258972
-4.928837e-007,-0.00496383
-4.927837e-007,-0.0039951
-4.926837e-007,-0.00142067
-4.925837e-007,0.00141825
-4.924837e-007,0.0024042
-4.923837e-007,0.00156067
-4.922837e-007,-0.000545828
-4.921837e-007,-0.00354907
-4.920837e-007,-0.00299506
-4.919837e-007,-0.00383703
-4.918837e-007,-0.00108419
-4.917837e-007,-0.000763364
-4.916837e-007,0.000958141
-4.915837e-007,0.000366569
-4.914837e-007,-0.000414368
-4.913837e-007,-2.7812e-005
-4.912837e-007,-0.000725804
-4.911837e-007,-0.000555218
-4.910837e-007,-0.00139093
-4.909837e-007,-0.00380886
-4.908837e-007,-0.00441139
-4.907837e-007,-0.00418759
-4.906837e-007,0.000150598
-4.905837e-007,0.0025028
-4.904837e-007,0.00453574
-4.903837e-007,0.00201295
-4.902837e-007,-0.00114522
-4.901837e-007,-0.00572286
-4.900837e-007,-0.00530188
-4.899837e-007,-0.00445834
-4.898837e-007,-0.000102932
-4.897837e-007,0.00136348
-4.896837e-007,0.00173751
-4.895837e-007,0.00100353
-4.894837e-007,0.00120854
-4.893837e-007,-0.000262563
-4.892837e-007,-0.00114366
-4.891837e-007,-0.0029888
-4.890837e-007,-0.00334562
-4.889837e-007,-0.0031766
-4.888837e-007,-0.000908909
-4.887837e-007,0.00107708
