LECROYWP760Zi,55441,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,12-Dec-2012 10:30:26,0                 
Time,Ampl
-5.000532e-007,1.68684
-4.999532e-007,1.66992
-4.998532e-007,1.6877
-4.997532e-007,1.70254
-4.996532e-007,1.68592
-4.995532e-007,1.69974
-4.994532e-007,1.68617
-4.993532e-007,1.67347
-4.992532e-007,1.69452
-4.991532e-007,1.67774
-4.990532e-007,1.6882
-4.989532e-007,1.69597
-4.988532e-007,1.67613
-4.987532e-007,1.69283
-4.986532e-007,1.68481
-4.985532e-007,1.68365
-4.984532e-007,1.68809
-4.983532e-007,1.69566
-4.982532e-007,1.68603
-4.981532e-007,1.68964
-4.980532e-007,1.69325
-4.979532e-007,1.66703
-4.978532e-007,1.68276
-4.977532e-007,1.70285
-4.976532e-007,1.68454
-4.975532e-007,1.70043
-4.974532e-007,1.67946
-4.973532e-007,1.67405
-4.972532e-007,1.70335
-4.971532e-007,1.68545
-4.970532e-007,1.69952
-4.969532e-007,1.68287
-4.968532e-007,1.68809
-4.967532e-007,1.70429
-4.966532e-007,1.68443
-4.965532e-007,1.691
-4.964532e-007,1.70221
-4.963532e-007,1.67949
-4.962532e-007,1.68967
-4.961532e-007,1.67122
-4.960532e-007,1.69369
-4.959532e-007,1.67838
-4.958532e-007,1.69794
-4.957532e-007,1.68723
-4.956532e-007,1.68814
-4.955532e-007,1.69777
-4.954532e-007,1.6728
-4.953532e-007,1.69097
-4.952532e-007,1.7006
-4.951532e-007,1.67946
-4.950532e-007,1.69036
-4.949532e-007,1.68171
-4.948532e-007,1.67788
-4.947532e-007,1.68176
-4.946532e-007,1.67352
-4.945532e-007,1.6887
-4.944532e-007,1.69156
-4.943532e-007,1.67516
-4.942532e-007,1.68914
-4.941532e-007,1.68165
-4.940532e-007,1.68764
-4.939532e-007,1.69649
-4.938532e-007,1.6859
-4.937532e-007,1.68492
-4.936532e-007,1.68745
-4.935532e-007,1.69572
-4.934532e-007,1.6859
-4.933532e-007,1.68967
-4.932532e-007,1.69236
-4.931532e-007,1.6958
-4.930532e-007,1.68687
-4.929532e-007,1.68914
-4.928532e-007,1.69272
-4.927532e-007,1.68032
-4.926532e-007,1.6877
-4.925532e-007,1.69516
-4.924532e-007,1.69164
-4.923532e-007,1.69083
-4.922532e-007,1.69713
-4.921532e-007,1.68262
-4.920532e-007,1.68914
-4.919532e-007,1.68007
-4.918532e-007,1.6968
-4.917532e-007,1.68703
-4.916532e-007,1.67827
-4.915532e-007,1.69122
-4.914532e-007,1.6847
-4.913532e-007,1.67302
-4.912532e-007,1.70379
-4.911532e-007,1.70074
-4.910532e-007,1.69763
-4.909532e-007,1.69821
-4.908532e-007,1.69278
-4.907532e-007,1.68154
-4.906532e-007,1.68731
-4.905532e-007,1.68659
-4.904532e-007,1.69203
-4.903532e-007,1.69619
-4.902532e-007,1.68601
-4.901532e-007,1.69769
-4.900532e-007,1.69192
-4.899532e-007,1.68121
-4.898532e-007,1.69802
-4.897532e-007,1.69366
-4.896532e-007,1.693
-4.895532e-007,1.69697
-4.894532e-007,1.69583
-4.893532e-007,1.69597
-4.892532e-007,1.7125
-4.891532e-007,1.67943
-4.890532e-007,1.70027
-4.889532e-007,1.68556
-4.888532e-007,1.7026
-4.887532e-007,1.6885
-4.886532e-007,1.70393
-4.885532e-007,1.70423
-4.884532e-007,1.69219
-4.883532e-007,1.69866
-4.882532e-007,1.68498
-4.881532e-007,1.69638
-4.880532e-007,1.71056
-4.879532e-007,1.69414
-4.878532e-007,1.69905
-4.877532e-007,1.71203
-4.876532e-007,1.71996
-4.875532e-007,1.70396
-4.874532e-007,1.71733
-4.873532e-007,1.69433
-4.872532e-007,1.70351
-4.871532e-007,1.71161
-4.870532e-007,1.69369
-4.869532e-007,1.71544
-4.868532e-007,1.70898
-4.867532e-007,1.70446
-4.866532e-007,1.69738
-4.865532e-007,1.71267
-4.864532e-007,1.70926
-4.863532e-007,1.72132
-4.862532e-007,1.70232
-4.861532e-007,1.72146
-4.860532e-007,1.70967
-4.859532e-007,1.71256
-4.858532e-007,1.72094
-4.857532e-007,1.70321
-4.856532e-007,1.70379
-4.855532e-007,1.71178
-4.854532e-007,1.70077
-4.853532e-007,1.70562
-4.852532e-007,1.71059
-4.851532e-007,1.7031
-4.850532e-007,1.69699
-4.849532e-007,1.69605
-4.848532e-007,1.70082
-4.847532e-007,1.71181
-4.846532e-007,1.68456
-4.845532e-007,1.71589
-4.844532e-007,1.69846
-4.843532e-007,1.71328
-4.842532e-007,1.71425
-4.841532e-007,1.695
-4.840532e-007,1.70501
-4.839532e-007,1.69366
-4.838532e-007,1.70301
-4.837532e-007,1.70362
-4.836532e-007,1.70138
-4.835532e-007,1.70468
-4.834532e-007,1.70204
-4.833532e-007,1.70501
-4.832532e-007,1.71109
-4.831532e-007,1.69538
-4.830532e-007,1.70426
-4.829532e-007,1.71117
-4.828532e-007,1.72016
-4.827532e-007,1.70348
-4.826532e-007,1.71652
-4.825532e-007,1.70301
-4.824532e-007,1.71186
-4.823532e-007,1.71181
-4.822532e-007,1.70185
-4.821532e-007,1.71417
-4.820532e-007,1.70956
-4.819532e-007,1.70401
-4.818532e-007,1.70357
-4.817532e-007,1.71197
-4.816532e-007,1.71012
-4.815532e-007,1.71256
-4.814532e-007,1.70282
-4.813532e-007,1.71328
-4.812532e-007,1.71003
-4.811532e-007,1.71186
-4.810532e-007,1.72077
-4.809532e-007,1.70357
-4.808532e-007,1.70365
-4.807532e-007,1.71161
-4.806532e-007,1.71197
-4.805532e-007,1.71292
-4.804532e-007,1.71111
-4.803532e-007,1.72113
-4.802532e-007,1.7016
-4.801532e-007,1.70631
-4.800532e-007,1.71023
-4.799532e-007,1.71028
-4.798532e-007,1.72027
-4.797532e-007,1.72696
-4.796532e-007,1.72066
-4.795532e-007,1.7279
-4.794532e-007,1.70193
-4.793532e-007,1.71486
-4.792532e-007,1.70895
-4.791532e-007,1.71098
-4.790532e-007,1.71983
-4.789532e-007,1.72635
-4.788532e-007,1.72945
-4.787532e-007,1.72132
-4.786532e-007,1.70382
-4.785532e-007,1.71347
-4.784532e-007,1.72751
-4.783532e-007,1.70118
-4.782532e-007,1.72343
-4.781532e-007,1.70193
-4.780532e-007,1.70251
-4.779532e-007,1.71245
-4.778532e-007,1.70004
-4.777532e-007,1.70554
-4.776532e-007,1.7201
-4.775532e-007,1.71028
-4.774532e-007,1.70434
-4.773532e-007,1.70509
-4.772532e-007,1.71045
-4.771532e-007,1.6945
-4.770532e-007,1.7041
-4.769532e-007,1.71109
-4.768532e-007,1.70063
-4.767532e-007,1.70515
-4.766532e-007,1.71311
-4.765532e-007,1.71161
-4.764532e-007,1.71167
-4.763532e-007,1.72135
-4.762532e-007,1.69458
-4.761532e-007,1.72235
-4.760532e-007,1.70815
-4.759532e-007,1.70434
-4.758532e-007,1.7041
-4.757532e-007,1.70301
-4.756532e-007,1.70176
-4.755532e-007,1.70351
-4.754532e-007,1.70226
-4.753532e-007,1.70398
-4.752532e-007,1.72121
-4.751532e-007,1.69416
-4.750532e-007,1.70557
-4.749532e-007,1.71172
-4.748532e-007,1.70948
-4.747532e-007,1.69672
-4.746532e-007,1.71519
-4.745532e-007,1.70196
-4.744532e-007,1.71245
-4.743532e-007,1.70354
-4.742532e-007,1.69613
-4.741532e-007,1.7052
-4.740532e-007,1.70951
-4.739532e-007,1.70332
-4.738532e-007,1.69719
-4.737532e-007,1.70462
-4.736532e-007,1.71003
-4.735532e-007,1.70315
-4.734532e-007,1.7041
-4.733532e-007,1.70376
-4.732532e-007,1.72102
-4.731532e-007,1.70176
-4.730532e-007,1.72279
-4.729532e-007,1.71136
-4.728532e-007,1.70265
-4.727532e-007,1.70512
-4.726532e-007,1.71256
-4.725532e-007,1.70354
-4.724532e-007,1.70332
-4.723532e-007,1.68934
-4.722532e-007,1.68642
-4.721532e-007,1.69461
