LECROYWP760Zi,55441,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,12-Dec-2012 10:36:03,0                 
Time,Ampl
-5.00062e-007,-0.00142067
-4.99962e-007,-0.0023941
-4.99862e-007,0.000164683
-4.99762e-007,0.000602885
-4.99662e-007,0.00238542
-4.99562e-007,-0.00191521
-4.99462e-007,-0.00327207
-4.99362e-007,-0.00465396
-4.99262e-007,-0.000946469
-4.99162e-007,0.00310533
-4.99062e-007,0.00424152
-4.98962e-007,0.00131496
-4.98862e-007,-0.00240036
-4.98762e-007,-0.00440669
-4.98662e-007,-0.00401075
-4.98562e-007,-0.000320468
-4.98462e-007,0.00268903
-4.98362e-007,0.00351379
-4.98262e-007,0.00084859
-4.98162e-007,-0.000616254
-4.98062e-007,-0.00144101
-4.97962e-007,-0.00153022
-4.97862e-007,-0.00107949
-4.97762e-007,-0.00122348
-4.97662e-007,-0.00127669
-4.97562e-007,-0.00321573
-4.97462e-007,-0.00160377
-4.97362e-007,0.00105674
-4.97262e-007,0.00345589
-4.97162e-007,0.00271095
-4.97062e-007,0.000659225
-4.96962e-007,-0.00326581
-4.96862e-007,-0.00490593
-4.96762e-007,-0.00455537
-4.96662e-007,-0.00218595
-4.96562e-007,0.00219449
-4.96462e-007,0.00279546
-4.96362e-007,0.00297543
-4.96262e-007,0.000995701
-4.96162e-007,-0.00204667
-4.96062e-007,-0.00362889
-4.95962e-007,-0.00312182
-4.95862e-007,-0.00288238
-4.95762e-007,-0.00169767
-4.95662e-007,-0.000307948
-4.95562e-007,0.000994136
-4.95462e-007,0.00148555
-4.95362e-007,0.0011209
-4.95262e-007,0.00062323
-4.95162e-007,-0.00120626
-4.95062e-007,-0.00374939
-4.94962e-007,-0.00257251
-4.94862e-007,-0.00236123
-4.94762e-007,-0.000732064
-4.94662e-007,-0.000766494
-4.94562e-007,0.00075782
-4.94462e-007,0.00071087
-4.94362e-007,9.7481e-006
-4.94262e-007,-0.000807184
-4.94162e-007,-0.00132051
-4.94062e-007,-0.00191834
-4.93962e-007,-0.00189486
-4.93862e-007,-0.00176653
-4.93762e-007,-0.00113583
-4.93662e-007,-0.00177436
-4.93562e-007,-0.000469143
-4.93462e-007,8.18309e-006
-4.93362e-007,0.0010004
-4.93262e-007,0.00079538
-4.93162e-007,-0.00123443
-4.93062e-007,-0.00302792
-4.92962e-007,-0.00325329
-4.92862e-007,-0.00253808
-4.92762e-007,-0.000802489
-4.92662e-007,-0.000599038
-4.92562e-007,0.000998831
-4.92462e-007,0.00275007
-4.92362e-007,0.00210372
-4.92262e-007,-0.000727369
-4.92162e-007,-0.00220473
-4.92062e-007,-0.00423611
-4.91962e-007,-0.00397788
-4.91862e-007,-0.0013612
-4.91762e-007,0.00168274
-4.91662e-007,0.00299265
