LECROYWP760Zi,55441,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,12-Dec-2012 10:32:34,0                 
Time,Ampl
-5.000974e-007,1.81424
-4.999974e-007,1.8136
-4.998974e-007,1.81576
-4.997974e-007,1.83102
-4.996974e-007,1.82786
-4.995974e-007,1.82888
-4.994974e-007,1.82539
-4.993974e-007,1.83776
-4.992974e-007,1.83535
-4.991974e-007,1.81318
-4.990974e-007,1.83471
-4.989974e-007,1.81612
-4.988974e-007,1.81662
-4.987974e-007,1.82214
-4.986974e-007,1.81396
-4.985974e-007,1.83368
-4.984974e-007,1.81385
-4.983974e-007,1.81529
-4.982974e-007,1.81626
-4.981974e-007,1.82408
-4.980974e-007,1.81562
-4.979974e-007,1.80511
-4.978974e-007,1.82647
-4.977974e-007,1.8073
-4.976974e-007,1.81845
-4.975974e-007,1.79795
-4.974974e-007,1.82622
-4.973974e-007,1.80835
-4.972974e-007,1.80888
-4.971974e-007,1.81465
-4.970974e-007,1.79917
-4.969974e-007,1.81257
-4.968974e-007,1.81429
-4.967974e-007,1.81318
-4.966974e-007,1.79548
-4.965974e-007,1.81199
-4.964974e-007,1.81388
-4.963974e-007,1.82125
-4.962974e-007,1.81726
-4.961974e-007,1.82031
-4.960974e-007,1.80777
-4.959974e-007,1.82916
-4.958974e-007,1.8227
-4.957974e-007,1.83379
-4.956974e-007,1.81598
-4.955974e-007,1.8237
-4.954974e-007,1.81596
-4.953974e-007,1.81088
-4.952974e-007,1.80827
-4.951974e-007,1.81263
-4.950974e-007,1.80977
-4.949974e-007,1.81127
-4.948974e-007,1.79776
-4.947974e-007,1.82961
-4.946974e-007,1.81335
-4.945974e-007,1.80608
-4.944974e-007,1.81759
-4.943974e-007,1.82589
-4.942974e-007,1.82494
-4.941974e-007,1.81191
-4.940974e-007,1.81759
-4.939974e-007,1.82128
-4.938974e-007,1.80003
-4.937974e-007,1.82198
-4.936974e-007,1.81293
-4.935974e-007,1.82284
-4.934974e-007,1.81041
-4.933974e-007,1.82078
-4.932974e-007,1.80716
-4.931974e-007,1.81429
-4.930974e-007,1.80086
-4.929974e-007,1.80447
-4.928974e-007,1.80705
-4.927974e-007,1.82123
-4.926974e-007,1.79973
-4.925974e-007,1.83571
-4.924974e-007,1.8126
-4.923974e-007,1.82472
-4.922974e-007,1.81676
-4.921974e-007,1.81923
-4.920974e-007,1.82464
-4.919974e-007,1.81199
-4.918974e-007,1.82661
-4.917974e-007,1.82422
-4.916974e-007,1.80763
-4.915974e-007,1.82481
-4.914974e-007,1.79845
-4.913974e-007,1.81315
-4.912974e-007,1.81415
-4.911974e-007,1.81199
-4.910974e-007,1.8265
-4.909974e-007,1.80896
-4.908974e-007,1.83221
-4.907974e-007,1.81135
-4.906974e-007,1.8124
-4.905974e-007,1.82583
-4.904974e-007,1.82145
-4.903974e-007,1.82342
-4.902974e-007,1.81659
-4.901974e-007,1.8111
-4.900974e-007,1.82999
-4.899974e-007,1.81055
-4.898974e-007,1.82744
-4.897974e-007,1.82392
-4.896974e-007,1.82414
-4.895974e-007,1.82275
-4.894974e-007,1.81629
-4.893974e-007,1.81965
-4.892974e-007,1.83543
-4.891974e-007,1.82053
-4.890974e-007,1.81216
-4.889974e-007,1.83876
-4.888974e-007,1.82589
-4.887974e-007,1.82977
-4.886974e-007,1.82569
-4.885974e-007,1.83174
-4.884974e-007,1.83563
-4.883974e-007,1.8361
-4.882974e-007,1.83221
-4.881974e-007,1.84675
-4.880974e-007,1.82802
-4.879974e-007,1.82994
-4.878974e-007,1.82489
-4.877974e-007,1.81793
-4.876974e-007,1.84314
-4.875974e-007,1.81856
-4.874974e-007,1.82725
-4.873974e-007,1.83704
-4.872974e-007,1.83374
-4.871974e-007,1.83793
-4.870974e-007,1.8316
-4.869974e-007,1.83807
-4.868974e-007,1.84195
-4.867974e-007,1.82747
-4.866974e-007,1.826
-4.865974e-007,1.84536
-4.864974e-007,1.83335
-4.863974e-007,1.82936
-4.862974e-007,1.8255
-4.861974e-007,1.83676
-4.860974e-007,1.8275
-4.859974e-007,1.83735
-4.858974e-007,1.83102
-4.857974e-007,1.8323
