LECROYWP760Zi,55441,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,12-Dec-2012 10:35:44,0                 
Time,Ampl
-5.000907e-007,1.84672
-4.999907e-007,1.83732
-4.998907e-007,1.84226
-4.997907e-007,1.85097
-4.996907e-007,1.84406
-4.995907e-007,1.85219
-4.994907e-007,1.86867
-4.993907e-007,1.84997
-4.992907e-007,1.85752
-4.991907e-007,1.85086
-4.990907e-007,1.84162
-4.989907e-007,1.85258
-4.988907e-007,1.82886
-4.987907e-007,1.85288
-4.986907e-007,1.8465
-4.985907e-007,1.86076
-4.984907e-007,1.84531
-4.983907e-007,1.85269
-4.982907e-007,1.8495
-4.981907e-007,1.84412
-4.980907e-007,1.83188
-4.979907e-007,1.85113
-4.978907e-007,1.85141
-4.977907e-007,1.827
-4.976907e-007,1.84137
-4.975907e-007,1.84897
-4.974907e-007,1.84037
-4.973907e-007,1.83773
-4.972907e-007,1.84567
-4.971907e-007,1.83543
-4.970907e-007,1.8508
-4.969907e-007,1.8346
-4.968907e-007,1.83274
-4.967907e-007,1.83213
-4.966907e-007,1.82719
-4.965907e-007,1.83601
-4.964907e-007,1.83737
-4.963907e-007,1.8452
-4.962907e-007,1.84206
-4.961907e-007,1.83682
-4.960907e-007,1.83221
-4.959907e-007,1.83674
-4.958907e-007,1.84101
-4.957907e-007,1.85075
-4.956907e-007,1.84503
-4.955907e-007,1.85285
-4.954907e-007,1.82816
-4.953907e-007,1.84697
-4.952907e-007,1.83626
-4.951907e-007,1.84528
-4.950907e-007,1.85391
-4.949907e-007,1.83441
-4.948907e-007,1.8483
-4.947907e-007,1.84348
-4.946907e-007,1.84969
-4.945907e-007,1.84448
-4.944907e-007,1.85488
-4.943907e-007,1.84461
-4.942907e-007,1.85047
-4.941907e-007,1.84459
-4.940907e-007,1.83837
-4.939907e-007,1.84609
-4.938907e-007,1.84034
-4.937907e-007,1.84453
-4.936907e-007,1.85452
-4.935907e-007,1.84423
-4.934907e-007,1.8371
-4.933907e-007,1.83624
-4.932907e-007,1.84445
-4.931907e-007,1.84972
-4.930907e-007,1.84933
-4.929907e-007,1.85186
-4.928907e-007,1.85449
-4.927907e-007,1.85108
-4.926907e-007,1.85008
-4.925907e-007,1.85136
-4.924907e-007,1.85369
-4.923907e-007,1.86523
-4.922907e-007,1.84079
-4.921907e-007,1.85408
-4.920907e-007,1.84359
-4.919907e-007,1.85108
-4.918907e-007,1.84092
-4.917907e-007,1.86745
-4.916907e-007,1.85224
-4.915907e-007,1.84695
-4.914907e-007,1.84331
-4.913907e-007,1.84303
-4.912907e-007,1.85369
-4.911907e-007,1.85851
-4.910907e-007,1.8412
-4.909907e-007,1.86312
-4.908907e-007,1.84231
-4.907907e-007,1.86182
-4.906907e-007,1.84018
